town,accountants_per_10000_residents_2013,apartments_condos_multis_per_residential_parcels_2011,architects_per_10000_2013,assessed_home_value_changes_2009-2013,barbers_per_10000_residents_2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,construction_supervisors_per_10000_2013,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,dentists_per_10000_2013,doctors_per_10000_residents_2013,education_spending_as_a_percent_2012,education_spending_per_resident_2012,electricians_per_1000_residents_2013,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,funeral_directors_per_10000_2013,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,massage_therapists_per_10000_2012,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,real_estate_professionals_per_1000_residents_2013,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,tax_bills_for_single-family_homes_2012,tax_bills_for_single-family_homes_2013,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,veterinarians_per_10000_2013,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,2020_label
Buckland,0.0,0.101,0.0,-0.014,5.3,11.0,120.9,,10.9,453.2,,0.004,10.5,25.8,31,,5.3,56.5,1014,1.1,1578,52.2,,,5.3,0.0,,15.8,4.0,56.1,6.8,2.3,27.9,24.3,13.2,17209 ,-0.15,0,26.3,,41.2,66,,0.605,36.3,24.3,73,10.4,4.6,0.19,0.003,,0.059,,1,80.4,6.8,,39.6,246.3,7.1,0.916,10.5,3090,3150,89.5,,,371,0.0,,1330,0.3,wicked blue
Burlington,45.7,0.073,2.9,-0.056,7.3,12.7,74.3,,8.7,484.7,18.8,0.064,1.2,142.3,122,12.7,229.0,51.1,1949,4.4,3637,51.2,6.8,247,11.1,1.6,52.8,1.6,3.4,4.4,7.3,2.64,23.2,18.4,10.7,35843 ,0.02,0.4,13.9,10,40.8,64,25.7,0.017,14.5,50.6,253,28.8,7,6.54,0.01,253,0.129,15893,12,63.9,15.3,-0.012,43.9,0.8,6.7,0.942,9.1,4403,4536,90.9,84265 ,0.47,306,2.4,15.6,17123,0.33,light blue
Cambridge,14.5,0.822,35.8,,6.3,11.6,24.9,50.8,9.1,327.2,15.9,0.563,0.4,91.9,159,11.2,94.6,28.8,1076,0.5,3613,51.4,6.06,219,14.0,1.4,10.6,19.9,3.4,56.8,10.7,2,40.7,39.0,3.6,47665 ,-0.02,1.1,25.6,16,31.2,23.2,61.7,-0.214,6.6,13.4,277,29.3,7.7,-0.13,0.008,290,,27018,7,61.7,5.7,0.078,23.7,0.0,5.8,0.824,,,,96.3,82076 ,0.45,111,2.1,40.3,69357,0.49,wicked blue
Canton,75.6,0.23,8.3,-0.05,8.8,9.6,87.7,34.5,8.4,468.6,19.9,0.166,1.4,125.6,67,14.8,16.2,53.1,1477,4.6,2681,52.7,6.83,183,7.7,7.0,42.2,1.9,,13.9,7.8,2.54,27,19.7,9.5,48744 ,0.0,0.4,16.7,12,41,62.7,24.8,-0.065,14,32.9,171,19.8,6.4,1.89,0.007,119,0.171,13153,16,77.6,17.1,0.053,48.4,2.3,7.6,,9.2,5526,5729,90.9,72299 ,0.43,352,2.8,16,15506,0.28,medium blue
Carlisle,30.9,0.021,22.7,-0.13,4.1,6.8,129.8,24.5,9.5,540.6,19.8,0.012,6.2,56.7,132,6.2,18.5,67.9,3246,1.2,4751,50.2,1.1,52,7.0,0.0,57.9,4.1,13.6,18,5.7,2.86,11.5,43.4,4.2,98084 ,-0.15,0.2,2.1,19,44.4,86.5,20.4,-0.237,15.3,26.0,259,20.5,5.4,4.54,0.011,,0.096,16614,17,98,13.0,-0.114,39.5,0.0,4.8,0.868,5.8,11900,11960,94.2,82489 ,0.37,356,10.3,,3933,0.9,wicked blue
Carver,7.0,0.047,0.0,-0.158,10.4,8.4,321.5,82.1,9.9,418,19.7,0.021,7.0,69,31,1.7,1.7,69.6,1881,6.3,2584,51.3,1.37,36,6.0,0.9,97.9,0,13.9,5.8,6.7,2.68,21.8,11.6,2.5,26596 ,0.04,0.8,8.7,13,42.4,86.9,3.8,0.209,36.7,48.6,150,16.4,5.8,6.52,0.006,252,0.115,12474,8,82.4,47.4,-0.09,54,6.9,31.9,0.947,6.2,4050,4156,93.8,67111 ,0.31,399,0.0,23.1,8176,1.09,red
Charlemont,7.9,0.067,0.0,-0.049,0.0,7.1,221.2,,11.7,462.9,,0.009,31.6,63.2,17,,0.0,57.2,1163,6.3,1842,50.6,1.77,33,5.4,0.0,165.4,23.7,5.7,45.2,7.3,2.25,30.8,12.5,9.9,18407 ,-0.14,0,71.1,,47,68.8,,0.0,34.8,30.3,52,,2.8,0.48,0.003,,0.038,,0,86.7,12.6,,34.7,362.2,9.4,0.954,12.5,3169,3241,87.5,,,432,0.0,,800,0.39,medium blue
Charlton,19.3,0.06,0.8,-0.142,3.1,8.9,460.7,,9.6,432.4,,0.019,4.6,159.3,30,0.8,7.7,53.9,834,6.0,1548,50.9,6.63,103,9.0,1.5,112.5,3.1,13.3,11.6,5.5,2.78,16.9,16.3,3.7,31079 ,-0.01,0.7,10,25,39.5,98.8,,0.23,35.1,45.8,155,16.8,10,3.14,0.003,132,0.166,,7,86.2,25.0,,40.6,57.6,4.8,0.94,16.3,3044,3140,83.7,,,374,3.1,14.5,9514,1.12,red
Chatham,14.7,0.079,9.8,-0.109,1.6,4.9,4158.4,32.7,11.6,585.8,14.4,0.06,19.6,72.7,231,13.1,19.6,28.3,1570,2.8,4709,52.7,7.72,364,11.6,1.6,100.3,21.2,2.2,18.3,1.2,1.95,36.5,26.1,6.6,38178 ,-0.28,0.7,58.8,29,56.9,56.5,,0.288,21.9,12.3,279,43.8,5.9,1.49,0.0,275,0.198,17062,37,92.9,86.0,,55.5,1.6,8.2,0.987,6.3,3536,3919,93.7,70171 ,0.19,529,1.6,29.1,5603,0.16,light blue
Chelmsford,36.4,0.241,2.4,-0.103,5.6,9.5,100.6,17.6,9,504.4,19.9,0.196,3.8,97.7,50,12.1,50.6,47.1,1418,4.9,2957,51.6,4.31,127,17.4,3.0,52.3,1.5,6.3,14.5,5.6,2.53,25.5,19.4,9.2,41557 ,0.03,0.4,13.6,15,43.3,67.5,18.8,0.08,24.3,31.3,164,17.6,5.5,2.59,0.01,159,0.144,11751,11,80.5,17.3,-0.074,46.9,1.8,12.9,0.951,5.5,5653,5799,94.5,66416 ,0.35,332,3.6,7.3,24504,0.4,light blue
Chelsea,2.3,0.833,1.7,,21.3,18.6,38.4,110.5,6.3,452.1,21.2,0.285,0.9,129,9,2.3,23.6,56.9,1817,1.1,2702,49.1,6.18,167,11.1,3.1,14.1,2.6,1.3,67.5,32.9,2.92,29.3,10.4,3.6,14969 ,0.22,2.6,15.9,7,32.2,28.6,91.8,-0.029,5.7,61.4,198,28.3,7.3,-0.1,0.013,384,,13345,4,67.6,14.7,0.052,33.6,0.0,46.6,0.981,29.9,,,70.1,63751 ,0.5,282,0.6,185.2,14271,0.13,wicked blue
Cheshire,6.2,0.046,0.0,-0.011,12.4,8.3,485.3,6.2,10.5,395.4,,0.0,12.4,94.6,7,,0.0,58.3,839,7.7,1331,49.4,0.6,8,7.2,0.0,214.2,9.3,22.0,26,3.9,2.31,26.4,16.9,7.5,24304 ,0.01,0.3,12.4,19,46.9,60.3,,0.008,37.1,10.7,22,,1.7,0.6,-0.006,34,0.164,,6,90.5,10.8,,40.5,531.7,18.2,0.951,13.8,2018,2132,86.2,,,482,3.1,3.1,2335,0.17,light blue
Chester,0.0,0.051,7.5,-0.094,0.0,7.5,448.8,,10.7,361.3,,0.0,15.0,54.6,20,,0.0,63.6,1284,3.0,1983,48.7,1.45,29,4.7,0.0,129.3,22.4,46.3,48.7,0,2.46,25.8,12.1,7,19766 ,-0.13,0.7,29.9,15,46.8,82.9,,0.043,54.6,25.8,35,,1.7,0.03,0.001,,0.125,,4,92.3,29.9,,30,231.7,10.3,0.935,9.7,3086,3219,90.4,,,476,0.0,,891,0.54,red
Chesterfield,8.2,0.015,0.0,-0.112,0.0,2.5,360.1,,11.9,399.3,,0.0,24.5,35.2,22,,0.0,59.7,1363,5.7,2166,49,0.73,16,5.4,0.0,331.4,40.9,5.8,32.3,3.4,2.39,23.5,22.0,7,16279 ,-0.12,0,16.4,,49,83,,0.06,43.4,17.6,33,,1.5,1.46,-0.002,57,0.15,,7,94.5,22.1,,25,410.2,9.1,0.971,9.9,3425,3739,90.1,,,494,8.2,0,888,0.66,light blue
Chicopee,6.3,0.282,0.4,-0.102,7.4,11.2,205.4,78.8,10.6,446.7,18.2,0.1,0.5,135.2,65,2.5,8.7,51.2,1298,4.0,2100,52.2,6.95,146,17.2,4.3,54.9,2,7.2,31.9,8,2.28,34.3,10.2,10.3,17854 ,-0.01,1.6,16.6,8,40.2,40.9,38.1,0.114,18.3,33.8,141,23.2,6.7,0.12,0.001,302,0.071,12736,3,77.5,12.8,0.0,38.2,24.0,39,0.916,16,2683,2696,84.0,64213 ,0.43,280,0.9,46.2,35761,0.23,light blue
Chilmark,0.0,0.0,0.0,0.008,0.0,3.5,2702.1,45.6,14.8,722.9,,,34.6,39.3,,11.5,23.1,,,1.2,,49.3,,,,0.0,182.2,0,35.4,16.4,1.2,2.16,31.7,29.4,9.4,56790 ,-0.08,1.2,,12,45.8,74.6,,-0.244,39.3,7.5,,45.9,,3.73,0.014,,0.166,,48,97.8,144.3,,34.1,0.0,0.1,0.929,,,4294,94.4,,,907,0.0,,902,0.84,wicked blue
Clarksburg,5.9,0.068,0.0,-0.019,11.8,5.9,276.1,,10.2,302.6,20.4,0.015,5.9,17,35,,5.9,79,1492,12.9,1618,48.6,0.49,8,0.0,0.0,69.1,0,14.6,35.5,1.4,2.52,20.3,15.8,12.7,18063 ,-0.07,0.6,17.6,6,46.1,49.3,2.4,0.164,37.6,37.0,41,,2.5,0.04,-0.006,,0.275,12841,8,96.3,7.1,-0.136,45.3,218.7,53.8,0.982,7,1977,2144,93.0,52340 ,0.39,439,0.0,,1135,0.11,light blue
Clinton,8.8,0.418,0.7,-0.138,18.4,14.3,119.1,,9.8,449.4,18.2,0.19,2.2,28.2,37,2.2,6.6,50.9,1279,3.2,2407,51.1,4.61,111,17.1,3.7,69.7,6.6,8.4,47.7,9.2,2.32,33.4,13.1,8.3,24514 ,0.05,1.4,20.6,9,38.4,58.7,28.9,0.025,20.7,29.2,178,19.7,7.4,0.11,0.003,44,0.11,11273,7,84.6,17.8,-0.064,34.1,27.1,38.1,0.947,15.6,3274,3360,84.4,72778 ,0.28,293,1.5,6.5,9363,0.24,light blue
Cohasset,35.8,0.115,10.6,-0.01,5.3,8.0,869.8,39.5,9.8,406.8,20.6,0.07,4.0,83.3,83,13.3,25.2,44.6,2066,2.1,4636,50.9,5.87,272,14.0,0.0,45.2,9.3,2.3,33.8,3,2.74,22.7,26.7,8.1,83416 ,-0.17,0.1,23.9,15,43.1,70,5.8,0.188,15.1,18.7,262,26.4,5.7,1.02,0.007,,0.12,13524,24,93,32.7,0.08,55.9,2.6,4.8,0.837,6.2,10199,10468,93.8,71360 ,0.3,386,8.0,,5829,0.13,medium blue
Colrain,0.0,0.062,6.0,-0.015,6.0,12.0,287.3,,11.2,428.5,,0.0,18.0,68.2,28,,0.0,60.8,1080,7.2,1580,48.3,1.27,20,6.3,0.0,187.9,12,37.9,39.7,7.5,2.45,26.5,11.3,13.2,24745 ,0.16,0.6,18,6,44.4,73.6,,0.245,39.5,30.7,41,,2.6,0.08,0.003,,0.083,,2,88,23.9,,37,686.2,8.1,0.9,6.9,2888,2910,93.1,,,458,0.0,,1185,0.22,medium blue
Concord,41.3,0.161,30.0,-0.068,5.1,6.2,74.7,,8.8,466.7,17.1,0.12,2.8,115.6,115,18.1,124.5,60.4,2477,0.6,4058,49.3,4.77,193,4.4,4.5,34.7,14.1,2.9,28.5,4.2,2.46,27.2,47.4,9.1,103066 ,-0.24,0.2,14.7,16,46.5,64.4,21,0.105,10.1,12.2,219,23.1,5.4,1.05,0.01,94,0.102,16893,15,90.7,14.5,0.141,58.8,1.7,4.8,0.824,12.6,,11802,87.4,83291 ,0.3,268,5.7,7.2,13012,0.33,wicked blue
Conway,5.3,0.062,5.3,-0.036,0.0,7.4,258.3,,9.9,436,17.6,0.0,10.5,29,11,10.5,5.3,58.8,1412,4.2,2392,51.3,0.8,19,10.4,0.0,191.8,15.8,3.2,35,7.2,2.46,23.5,22.5,9.4,34991 ,-0.02,0,10.5,21,46.5,87.6,4.4,0.122,29,18.2,55,,2.3,1.17,0.003,,0.048,12692,4,91.2,20.6,0.053,27.1,499.2,17.2,0.88,6.4,4194,3968,93.6,52287 ,0.21,379,5.3,,1547,0.93,wicked blue
Cummington,0.0,0.052,0.0,0.014,0.0,6.9,229.4,34.5,11.1,498.9,,0.0,34.4,29.8,12,,0.0,56.8,1102,3.4,1697,50,1.03,18,3.8,0.0,156.3,11.5,85.5,47.6,4.1,2.16,35.4,17.3,7.1,26185 ,0.07,1.1,11.5,23,43.7,72.2,,0.275,58.5,17.3,21,,1.2,0.41,-0.002,,0.134,,3,88.5,14.9,,31.5,413.8,10.2,0.778,14.6,2726,2828,85.4,,,430,11.5,,679,0.45,medium blue
Dalton,14.8,0.144,4.4,-0.056,0.0,7.4,196.9,29.8,9.3,404.7,,0.041,4.4,88.5,36,4.4,5.9,60.8,1200,3.6,1776,52,,,9.7,0.0,106.8,10.4,2.7,36.9,4.5,2.43,27,13.3,14.9,32234 ,0.13,1.3,22.2,22,46.1,49.9,,0.128,24.9,24.1,119,14.7,6.7,0.42,-0.006,100,0.14,,7,83.6,12.9,,45.8,205.5,8.2,0.92,11.7,3589,3652,88.4,,,351,4.4,31,4667,0.18,medium blue
Danvers,32.8,0.248,4.2,-0.107,14.0,8.4,323.1,33.0,8.9,476.8,19.3,0.152,2.6,132.1,73,12.5,45.7,43.9,1274,4.4,2825,53.2,5.58,158,17.5,4.5,51.4,5.3,6.6,26.1,3.2,2.42,29.2,13.3,9.3,33474 ,0.03,0.5,17,19,43.7,58.9,11.4,0.075,21.6,31.1,207,21.8,7.3,0.69,0.008,280,0.158,12923,11,73.4,23.4,0.003,45.3,0.7,7.7,0.916,12.8,4883,5085,87.2,71015 ,0.4,349,2.6,21.5,18963,0.32,light blue
Dartmouth,10.9,0.071,3.5,-0.138,3.2,5.5,481.3,46.7,10.3,425.9,20.5,0.025,5.9,98.9,34,7.6,45.8,58.5,1088,4.4,1839,49.7,,,8.2,0.0,74.2,1.8,6.3,18.8,6.8,2.54,23.8,11.6,9.2,26800 ,-0.08,0.4,13.2,17,43.2,69.4,9.4,0.288,25.3,42.4,158,21.9,8.6,2.06,0.001,295,0.117,11220,12,83.3,38.2,-0.076,53.7,1.5,16.3,0.915,9.7,3146,3239,90.3,66531 ,0.34,316,4.4,21.2,24104,0.77,light blue
Dedham,33.2,0.154,3.2,-0.088,6.9,10.6,89.4,28.9,9.2,451.6,16.8,0.066,1.2,104.7,,11.3,29.5,,,6.1,,51.6,,,,3.6,38.1,2,7.1,38.2,5.7,2.45,28.7,19.5,12.6,41722 ,0.04,0.8,19.8,11,43,54.7,24.1,-0.159,14.8,32.4,,22.9,,0.34,0.007,248,0.141,16040,14,79.3,16.5,-0.011,46,2.0,6.6,0.845,13.2,5770,5937,86.8,69546 ,0.47,291,3.2,7.6,17899,0.11,medium blue
Deerfield,23.4,0.169,0.0,-0.07,5.9,7.6,269.3,95.3,10.4,490.3,19.4,0.056,19.5,128,40,13.7,17.6,63.3,1365,3.5,2142,51.1,,,10.9,7.8,121.2,3.9,3.5,35.6,6.4,2.33,26.3,25.2,9.8,34119 ,-0.13,0.6,31.2,21,45.3,72.2,9.3,-0.057,22.6,18.5,130,15.5,6.1,0.66,0.003,162,0.09,12477,7,74.9,18.9,-0.083,40.6,305.4,14.2,0.867,26.6,3471,3563,73.4,55015 ,0.27,360,11.7,15.4,3676,0.51,medium blue
Dennis,14.8,0.143,2.1,-0.111,9.9,8.2,1217.0,146.5,10.9,554.3,,0.1,14.1,160,193,5.6,7.0,36.9,1152,5.0,2735,53.6,9.1,249,11.3,2.8,,3.5,9.5,11.6,2.2,2.03,36.4,20.9,3.7,26477 ,-0.01,1.3,45.8,29,52.5,51.5,,0.05,20.6,19.2,268,34.3,9.8,4.69,-0.001,369,0.068,,28,92.2,66.6,,50.8,7.7,1.3,0.938,2.7,2309,2388,97.3,,,436,1.4,34.2,11762,0.36,light blue
Dighton,4.2,0.07,0.0,-0.156,14.1,7.8,388.1,21.1,10.5,451.6,,0.012,8.5,44.5,30,,5.6,59.8,1221,7.3,2040,49.9,4.66,95,8.3,0.0,113.6,4.2,14.5,28.8,5.4,2.83,19.1,12.2,13.7,28019 ,0.0,0.3,8.5,17,42.6,89.9,,0.319,38,56.6,139,14.0,6.8,1.4,0.001,68,0.12,,7,85.8,53.1,,44.7,0.0,4.3,0.948,10.2,3811,3906,89.8,,,414,2.8,14,4860,0.64,red
Douglas,11.8,0.094,1.2,-0.135,14.2,12.2,527.7,30.6,9.9,430.8,20.9,0.034,4.7,71.5,25,3.5,1.2,53.5,1474,6.5,2755,50.2,0.98,27,16.9,0.0,116.4,3.5,18.4,24.3,4.9,2.82,16.9,13.5,2.8,30346 ,-0.02,0.6,11.8,14,39.3,103,5.4,0.439,41.8,36.7,174,23.5,6.3,2.23,0.003,59,0.275,10070,9,93.8,31.3,-0.058,32.8,81.2,38.3,0.945,8.5,3664,4138,91.5,59762 ,0.42,402,4.7,12.8,6194,1.8,red
Dover,44.7,0.056,16.1,-0.12,1.8,7.0,103.8,14.2,9.4,468.4,18.3,0.034,3.6,81.1,155,21.5,17.9,60.5,3009,1.3,4858,50.3,1.53,74,9.7,0.0,64.7,3.6,1.4,22.7,5.6,2.99,13.2,27.9,11.1,206084 ,-0.15,0,3.6,4,43.5,77.8,17.4,0.646,14.1,21.4,310,30.2,6.4,2.25,0.007,79,0.143,18313,25,97.3,17.9,-0.097,53,0.0,4.5,0.806,12.2,12390,12790,87.8,92765 ,0.28,375,1.8,5.3,4184,0.32,medium blue
Dracut,22.4,0.242,0.7,-0.105,6.1,10.9,119.5,4.0,9.5,467.5,21.8,0.174,1.4,72.7,30,6.8,3.7,57.1,1073,7.3,1874,51,5.33,100,7.4,4.4,57.1,0,5.4,15.2,6.6,2.69,22.3,13.0,9,28944 ,0.03,0.7,18,12,40.2,64.6,16.3,0.051,25.9,53.1,116,14.5,6.2,2.4,0.011,104,0.137,10431,7,90.2,22.8,-0.076,38.1,1.7,29.6,0.879,6.6,3583,3698,93.4,68284 ,0.38,351,1.4,4.7,20065,0.76,red
Dudley,11.4,0.129,0.0,-0.189,2.6,8.8,296.8,32.4,9.4,427,,0.026,2.6,71.6,17,0.9,1.8,52.2,585,3.5,1121,49.9,4.05,45,10.8,2.6,86.1,2.6,7.4,26.2,3.4,2.6,22.8,12.1,7.9,23751 ,-0.05,0.4,17.6,11,35.8,76.4,,0.237,29.8,35.7,109,14.0,9.7,1.16,0.003,64,0.143,,6,92,17.8,,38.2,40.3,9.7,0.955,10.8,2283,2349,89.2,,,339,4.4,33.8,7145,0.58,red
Dunstable,44.0,0.01,3.1,-0.099,3.1,3.1,204.5,,9.5,446.4,,0.0,9.4,74.2,54,,0.0,62.8,1444,7.9,2165,49.7,1.19,26,5.3,0.0,82.8,3.1,19.2,12.4,3.6,2.99,12.8,22.4,7.6,50766 ,0.17,0.3,,16,40.8,98.7,,-0.012,26.1,40.5,249,25.0,11.5,5.09,0.011,,0.079,,13,96.4,20.1,,32.4,15.6,2.7,0.914,5.3,5798,6064,94.7,,,401,6.3,,2230,1.42,light blue
Duxbury,44.5,0.07,13.3,-0.144,2.7,6.2,841.4,9.9,8.8,396.1,20.7,0.058,2.0,57,118,12.6,17.9,59.6,1921,2.2,3126,51.9,5.08,159,6.1,0.0,60.0,8,4.4,17,1.7,2.79,19.5,25.6,5.9,66332 ,-0.07,0.3,12,11,43.9,89.2,5,0.218,15.6,23.4,209,23.1,6.7,3.75,0.005,62,0.114,11825,21,95.7,40.0,-0.038,60.2,2.6,8,0.938,8.7,7680,7947,91.3,66540 ,0.4,428,5.3,2,11470,0.57,light blue
East Bridgewater,8.7,0.141,0.7,-0.081,5.1,9.5,178.4,,10.3,410.8,28.2,0.068,5.1,97.4,32,1.4,10.9,46.5,1284,7.2,2699,51.2,4.96,134,19.8,0.7,92.4,1.4,5.1,25.3,6.9,2.88,19.2,,9.6,27231 ,0.03,0.7,16.7,5,41.8,78.6,5.7,-0.095,26.4,64.8,141,16.6,5.2,2.13,0.006,157,0.267,10381,11,89.1,34.7,-0.074,42.6,4.3,27.7,0.934,6.9,4808,5000,93.2,72557 ,0.44,374,2.9,17.2,9623,0.91,red
East Brookfield,18.3,0.069,0.0,-0.135,9.2,10.5,797.1,59.4,9.6,443.4,,0.002,18.3,89.8,41,,0.0,46.9,863,9.6,1839,49.3,3.19,59,6.7,9.2,148.4,0,33.4,32.4,6.4,2.64,18.7,,11.4,26397 ,-0.11,0.9,32.1,23,41.1,78.4,,0.056,34.4,41.1,141,18.2,7.7,0.76,0.003,167,0.153,,7,90.9,24.3,,44.5,219.2,7.4,0.954,9,3223,3294,91.0,,,431,0.0,13.6,1479,0.46,red
East Longmeadow,32.4,0.034,1.9,-0.074,15.9,7.8,176.2,41.3,9.8,476,20.2,0.021,4.5,138.8,52,14.6,17.8,43,1625,3.2,3728,52.9,1.16,43,12.4,4.5,64.6,1.9,5.9,9.7,5.2,2.61,23.7,,9.9,33699 ,-0.01,0.3,15.9,11,43.4,64.5,11.9,0.268,19.8,38.5,159,16.4,4.3,2.22,0.001,227,0.06,12153,10,82.6,13.5,-0.043,63.9,33.7,20.4,0.977,8.4,4781,4682,91.6,66723 ,0.28,339,1.3,15.8,11318,0.46,red
Eastham,18.2,0.07,2.0,-0.086,8.1,6.1,1626.3,72.7,10.9,523.6,17.6,0.042,18.2,128.7,122,8.1,0.0,35.7,1451,5.9,3576,53.5,8.7,311,16.3,0.0,116.7,24.2,2.0,5.3,1.3,2.08,30.4,30.5,6.4,25769 ,-0.03,0.6,34.3,18,56.6,62.4,10.3,0.212,25.4,16.8,307,40.1,8.6,4.76,-0.001,252,0.124,19519,17,95.9,97.3,-0.085,51.6,0.0,2.1,0.996,7.3,2890,2936,92.7,71920 ,0.17,552,6.1,16,4269,0.72,medium blue
Easthampton,12.5,0.226,1.9,-0.022,5.0,10.3,235.5,,9.9,490.4,19,0.066,1.9,55.9,31,3.7,8.1,44.1,921,3.9,2052,52.5,6.02,123,19.7,6.9,75.3,1.9,11.6,31.3,3.9,2.21,33.9,15.6,9.4,23990 ,0.01,0.6,20.6,16,42.8,54.4,15.1,-0.01,24.7,24.4,134,19.8,6.5,0.5,-0.002,124,0.215,11382,5,87,16.3,-0.035,35.1,67.4,27.7,0.908,9.2,3036,3311,90.8,62483 ,0.3,324,3.1,21.7,11921,0.39,medium blue
Easton,45.4,0.222,6.5,-0.105,9.5,9.1,122.4,58.4,9.1,428.6,19.8,0.167,7.4,84.8,20,9.1,21.2,53.1,1432,5.7,2686,52.1,4.69,126,17.3,2.6,51.4,2.6,4.5,15.7,6.4,2.66,22.4,18.5,4.8,39783 ,0.02,0.4,13,10,37.9,79.1,14.4,0.05,18.1,32.8,163,16.8,6.1,2.7,0.001,111,0.144,11133,14,85.7,20.5,-0.012,38.6,4.8,17.4,0.968,8.8,5642,5848,91.2,67837 ,0.28,332,2.6,13.3,15965,0.8,light blue
Edgartown,4.9,0.046,7.4,-0.049,4.9,10.1,2082.6,109.1,13.5,572.4,17.2,,9.8,33.9,217,4.9,14.8,33.8,2312,5.2,6845,48.6,1.34,91,14.6,0.0,126.6,7.4,10.2,13.5,4,2.25,31.5,23.1,2.3,41123 ,-0.09,0.2,88.5,37,43.5,65.1,18.1,-0.124,41.8,17.3,586,44.0,8.6,1.7,0.014,,0.16,20887,43,92.7,137.2,0.054,34.9,2.4,5.7,0.968,,,3964,90.7,75025 ,0.31,847,12.3,,3293,0.51,medium blue
Egremont,0.0,0.023,0.0,-0.176,8.2,4.1,179.6,32.8,11.6,578.8,,0.0,40.8,96.3,41,,0.0,42,1129,1.6,2419,52.8,2.32,56,10.4,0.0,27.9,24.5,23.4,22.1,3.3,2.16,30.2,15.4,8.7,21335 ,-0.13,0.8,57.1,73,56.4,58.7,,-0.111,26.1,16.0,216,56.8,8.9,0.68,-0.006,146,0.046,,13,94.1,7.3,,47.1,32.8,5.8,0.68,13.6,3024,2971,86.4,,,452,8.2,24.4,982,0.14,wicked blue
Erving,0.0,0.114,0.0,-0.009,11.1,8.9,305.6,99.7,11.4,356.7,18,0.027,11.1,98.3,48,,0.0,34.1,1606,3.9,4710,51.1,1.44,68,11.3,0.0,145.6,0,7.3,35.9,3.7,2.42,29.1,10.8,10.9,16383 ,-0.1,0.6,27.8,,39.6,75.6,10.7,0.0,22.8,25.5,179,33.1,3.8,0.36,0.003,203,0.158,16217,4,18.7,10.0,-0.178,35.5,116.3,11.6,0.982,4.3,1402,1490,95.7,56405 ,0.25,365,0.0,60.4,1107,0.39,light blue
Essex,20.0,0.168,25.7,-0.056,0.0,8.8,2180.4,39.6,9.9,416.1,,0.044,5.7,58.8,28,5.7,5.7,60.9,2010,2.6,3256,50,2.03,66,6.6,0.0,83.8,14.3,9.9,40.7,4.4,2.5,28,26.2,9.1,46481 ,-0.03,0,48.5,26,47.3,70.5,,-0.221,23.1,27.8,273,34.0,8.4,0.95,0.008,76,0.201,,13,89.2,61.6,,34.6,14.2,1.5,0.93,5.8,7060,7474,94.2,,,462,5.7,0,2725,0.45,medium blue
Everett,6.0,0.668,0.0,,18.0,15.1,38.6,57.2,10.6,350.2,19.8,0.173,0.5,54.3,23,4.6,12.5,47.8,1418,2.8,2908,50.9,6.52,190,11.8,2.6,16.5,0,0.4,63.4,22.9,2.67,27.7,11.4,8.8,16566 ,-0.09,2,13.4,9,35.6,33.7,63.6,-0.282,8.4,50.2,208,23.9,7.1,-0.09,0.01,233,,12261,4,63.7,14.2,0.189,35.8,0.5,33.7,0.934,14.2,,,85.8,69151 ,0.54,214,0.2,40,19903,-0.1,medium blue
